cpu_profile,cpu_profile_scaling_threshold,memory_profile,memory_profile_scaling_threshold,replicas_profile,cpu_search,cpu_search_scaling_threshold,memory_search,memory_search_scaling_threshold,replicas_search,cpu_frontend,cpu_frontend_scaling_threshold,memory_frontend,memory_frontend_scaling_threshold,replicas_frontend,cpu_user,cpu_user_scaling_threshold,memory_user,memory_user_scaling_threshold,replicas_user,cpu_reservation,cpu_reservation_scaling_threshold,memory_reservation,memory_reservation_scaling_threshold,replicas_reservation,cpu_memcached-reserve,cpu_memcached-reserve_scaling_threshold,memory_memcached-reserve,memory_memcached-reserve_scaling_threshold,replicas_memcached-reserve,cpu_rate,cpu_rate_scaling_threshold,memory_rate,memory_rate_scaling_threshold,replicas_rate,cpu_memcached-profile,cpu_memcached-profile_scaling_threshold,memory_memcached-profile,memory_memcached-profile_scaling_threshold,replicas_memcached-profile,cpu_consul,cpu_consul_scaling_threshold,memory_consul,memory_consul_scaling_threshold,replicas_consul,cpu_jaeger,cpu_jaeger_scaling_threshold,memory_jaeger,memory_jaeger_scaling_threshold,replicas_jaeger,cpu_geo,cpu_geo_scaling_threshold,memory_geo,memory_geo_scaling_threshold,replicas_geo,cpu_memcached-rate,cpu_memcached-rate_scaling_threshold,memory_memcached-rate,memory_memcached-rate_scaling_threshold,replicas_memcached-rate,cpu_recommendation,cpu_recommendation_scaling_threshold,memory_recommendation,memory_recommendation_scaling_threshold,replicas_recommendation,time,total_rps," ('/recommendations','GET')_rps","('/recommendations','GET')_p95","('/recommendations','GET')_p99","('/recommendations','GET')_avg"," ('/user','POST')_rps","('/user','POST')_p95","('/user','POST')_p99","('/user','POST')_avg"," ('/hotels','GET')_rps","('/hotels','GET')_p95","('/hotels','GET')_p99","('/hotels','GET')_avg"," ('/reservation','POST')_rps","('/reservation','POST')_p95","('/reservation','POST')_p99","('/reservation','POST')_avg"
49.0,50.0,10.0,50.0,6.0,47.0,50.0,31.0,50.0,10.0,50.0,50.0,34.0,50.0,4.0,4.0,50.0,5.0,50.0,1.0,49.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,43.0,50.0,19.0,50.0,6.0,20.0,50.0,4.0,50.0,1.0,3.0,50.0,34.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,40.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,43.0,50.0,8.0,50.0,2.0,6m18s,1992.1,772.8,11612.8,11654.4,9301.1,11.7,11609.0,11663.7,9225.8,1197.6,11610.2,11657.0,9313.1,10.1,11593.3,11644.7,9321.1
49.0,50.0,10.0,50.0,6.0,48.0,50.0,31.0,50.0,10.0,50.0,50.0,34.0,50.0,4.0,3.0,50.0,5.0,50.0,1.0,49.0,50.0,8.0,50.0,6.0,31.0,50.0,3.0,50.0,1.0,43.0,50.0,19.0,50.0,6.0,20.0,50.0,4.0,50.0,1.0,3.0,50.0,34.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,41.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,42.0,50.0,8.0,50.0,2.0,6m33s,2000.5,783.3,11622.7,11659.7,9407.8,9.9,11622.6,11664.5,9336.9,1197.3,11622.8,11662.3,9418.3,10.0,11619.8,11645.9,9429.5
49.0,50.0,11.0,50.0,6.0,48.0,50.0,31.0,50.0,10.0,50.0,50.0,34.0,50.0,4.0,4.0,50.0,5.0,50.0,1.0,48.0,50.0,8.0,50.0,6.0,31.0,50.0,3.0,50.0,1.0,43.0,50.0,19.0,50.0,6.0,20.0,50.0,4.0,50.0,1.0,3.0,50.0,34.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,41.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,42.0,50.0,8.0,50.0,2.0,6m49s,1991.7,778.5,11624.3,11663.5,9503.7,9.7,11624.6,11666.1,9435.5,1193.4,11624.4,11664.6,9513.2,10.1,11622.7,11649.6,9528.4
49.0,50.0,10.0,50.0,6.0,47.0,50.0,31.0,50.0,10.0,50.0,50.0,34.0,50.0,4.0,3.0,50.0,6.0,50.0,1.0,48.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,42.0,50.0,19.0,50.0,6.0,19.0,50.0,4.0,50.0,1.0,4.0,50.0,31.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,40.0,50.0,26.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,43.0,50.0,8.0,50.0,2.0,7m4s,1992.8,783.5,11634.0,11721.0,9596.6,8.9,11633.0,11720.8,9522.3,1191.7,11634.0,11721.3,9604.5,8.7,11631.4,11679.7,9610.1
49.0,50.0,10.0,50.0,6.0,47.0,50.0,31.0,50.0,10.0,50.0,50.0,35.0,50.0,4.0,3.0,50.0,5.0,50.0,1.0,49.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,42.0,50.0,19.0,50.0,6.0,19.0,50.0,4.0,50.0,1.0,4.0,50.0,31.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,40.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,43.0,50.0,8.0,50.0,2.0,7m19s,2001.3,777.1,11678.4,11765.0,9684.3,8.9,11675.7,11755.0,9606.1,1204.9,11678.5,11764.6,9692.4,10.4,11674.7,11767.8,9703.5
49.0,50.0,10.0,50.0,6.0,48.0,50.0,31.0,50.0,10.0,50.0,50.0,35.0,50.0,4.0,4.0,50.0,5.0,50.0,1.0,49.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,43.0,50.0,19.0,50.0,6.0,19.0,50.0,4.0,50.0,1.0,3.0,50.0,31.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,40.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,43.0,50.0,8.0,50.0,2.0,7m34s,1983.0,776.5,11727.5,11821.7,9765.6,10.4,11729.4,11800.6,9696.9,1184.7,11727.5,11821.3,9772.6,11.5,11729.4,11822.3,9798.4
48.0,50.0,10.0,50.0,6.0,47.0,50.0,31.0,50.0,10.0,50.0,50.0,35.0,50.0,4.0,3.0,50.0,5.0,50.0,1.0,49.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,43.0,50.0,19.0,50.0,6.0,19.0,50.0,4.0,50.0,1.0,3.0,50.0,31.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,40.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,42.0,50.0,8.0,50.0,2.0,7m49s,1979.3,764.2,11777.1,11921.8,9844.3,10.2,11779.0,11925.7,9783.5,1195.3,11778.3,11922.2,9852.2,9.6,11780.0,11926.0,9876.0
48.0,50.0,10.0,50.0,6.0,47.0,50.0,31.0,50.0,10.0,50.0,50.0,35.0,50.0,4.0,4.0,50.0,5.0,50.0,1.0,49.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,43.0,50.0,19.0,50.0,6.0,19.0,50.0,3.0,50.0,1.0,5.0,50.0,33.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,40.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,43.0,50.0,8.0,50.0,2.0,8m4s,1997.7,775.6,11872.0,11960.2,9920.5,9.8,11876.6,11966.3,9862.7,1202.5,11872.5,11961.6,9928.5,9.9,11873.7,11964.9,9952.2
49.0,50.0,11.0,50.0,6.0,48.0,50.0,31.0,50.0,10.0,50.0,50.0,35.0,50.0,4.0,3.0,50.0,6.0,50.0,1.0,50.0,50.0,8.0,50.0,6.0,30.0,50.0,3.0,50.0,1.0,43.0,50.0,19.0,50.0,6.0,20.0,50.0,4.0,50.0,1.0,3.0,50.0,33.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,43.0,50.0,25.0,50.0,5.0,17.0,50.0,3.0,50.0,1.0,43.0,50.0,8.0,50.0,2.0,8m19s,2008.9,781.5,11925.2,12020.0,9992.4,10.1,11926.0,12027.0,9939.4,1207.5,11925.1,12019.8,10000.2,9.9,11926.1,12027.2,10023.3
50.0,50.0,10.0,50.0,6.0,48.0,50.0,29.0,50.0,10.0,49.0,50.0,34.0,50.0,4.0,4.0,50.0,5.0,50.0,1.0,49.0,50.0,8.0,50.0,6.0,30.0,50.0,3.0,50.0,1.0,43.0,50.0,19.0,50.0,6.0,19.0,50.0,4.0,50.0,1.0,3.0,50.0,33.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,51.0,50.0,26.0,50.0,5.0,17.0,50.0,3.0,50.0,1.0,43.0,50.0,9.0,50.0,2.0,8m34s,2037.1,787.6,11925.4,12024.0,10053.5,10.3,11925.9,12027.3,10004.5,1229.8,11925.4,12023.7,10061.9,9.5,11926.2,12028.9,10080.9
