total_rps:2000.5; ('/recommendations','GET')_rps:783.3;('/recommendations','GET')_p95:11622.7;('/recommendations','GET')_p99:11659.7;('/recommendations','GET')_avg:9407.8; ('/user','POST')_rps:9.9;('/user','POST')_p95:11622.6;('/user','POST')_p99:11664.5;('/user','POST')_avg:9336.9; ('/hotels','GET')_rps:1197.3;('/hotels','GET')_p95:11622.8;('/hotels','GET')_p99:11662.3;('/hotels','GET')_avg:9418.3; ('/reservation','POST')_rps:10.0;('/reservation','POST')_p95:11619.8;('/reservation','POST')_p99:11645.9;('/reservation','POST')_avg:9429.5
total_rps:1991.7; ('/recommendations','GET')_rps:778.5;('/recommendations','GET')_p95:11624.3;('/recommendations','GET')_p99:11663.5;('/recommendations','GET')_avg:9503.7; ('/user','POST')_rps:9.7;('/user','POST')_p95:11624.6;('/user','POST')_p99:11666.1;('/user','POST')_avg:9435.5; ('/hotels','GET')_rps:1193.4;('/hotels','GET')_p95:11624.4;('/hotels','GET')_p99:11664.6;('/hotels','GET')_avg:9513.2; ('/reservation','POST')_rps:10.1;('/reservation','POST')_p95:11622.7;('/reservation','POST')_p99:11649.6;('/reservation','POST')_avg:9528.4
total_rps:1992.8; ('/recommendations','GET')_rps:783.5;('/recommendations','GET')_p95:11634.0;('/recommendations','GET')_p99:11721.0;('/recommendations','GET')_avg:9596.6; ('/user','POST')_rps:8.9;('/user','POST')_p95:11633.0;('/user','POST')_p99:11720.8;('/user','POST')_avg:9522.3; ('/hotels','GET')_rps:1191.7;('/hotels','GET')_p95:11634.0;('/hotels','GET')_p99:11721.3;('/hotels','GET')_avg:9604.5; ('/reservation','POST')_rps:8.7;('/reservation','POST')_p95:11631.4;('/reservation','POST')_p99:11679.7;('/reservation','POST')_avg:9610.1
total_rps:2001.3; ('/recommendations','GET')_rps:777.1;('/recommendations','GET')_p95:11678.4;('/recommendations','GET')_p99:11765.0;('/recommendations','GET')_avg:9684.3; ('/user','POST')_rps:8.9;('/user','POST')_p95:11675.7;('/user','POST')_p99:11755.0;('/user','POST')_avg:9606.1; ('/hotels','GET')_rps:1204.9;('/hotels','GET')_p95:11678.5;('/hotels','GET')_p99:11764.6;('/hotels','GET')_avg:9692.4; ('/reservation','POST')_rps:10.4;('/reservation','POST')_p95:11674.7;('/reservation','POST')_p99:11767.8;('/reservation','POST')_avg:9703.5
total_rps:1983.0; ('/recommendations','GET')_rps:776.5;('/recommendations','GET')_p95:11727.5;('/recommendations','GET')_p99:11821.7;('/recommendations','GET')_avg:9765.6; ('/user','POST')_rps:10.4;('/user','POST')_p95:11729.4;('/user','POST')_p99:11800.6;('/user','POST')_avg:9696.9; ('/hotels','GET')_rps:1184.7;('/hotels','GET')_p95:11727.5;('/hotels','GET')_p99:11821.3;('/hotels','GET')_avg:9772.6; ('/reservation','POST')_rps:11.5;('/reservation','POST')_p95:11729.4;('/reservation','POST')_p99:11822.3;('/reservation','POST')_avg:9798.4
total_rps:1979.3; ('/recommendations','GET')_rps:764.2;('/recommendations','GET')_p95:11777.1;('/recommendations','GET')_p99:11921.8;('/recommendations','GET')_avg:9844.3; ('/user','POST')_rps:10.2;('/user','POST')_p95:11779.0;('/user','POST')_p99:11925.7;('/user','POST')_avg:9783.5; ('/hotels','GET')_rps:1195.3;('/hotels','GET')_p95:11778.3;('/hotels','GET')_p99:11922.2;('/hotels','GET')_avg:9852.2; ('/reservation','POST')_rps:9.6;('/reservation','POST')_p95:11780.0;('/reservation','POST')_p99:11926.0;('/reservation','POST')_avg:9876.0
total_rps:1997.7; ('/recommendations','GET')_rps:775.6;('/recommendations','GET')_p95:11872.0;('/recommendations','GET')_p99:11960.2;('/recommendations','GET')_avg:9920.5; ('/user','POST')_rps:9.8;('/user','POST')_p95:11876.6;('/user','POST')_p99:11966.3;('/user','POST')_avg:9862.7; ('/hotels','GET')_rps:1202.5;('/hotels','GET')_p95:11872.5;('/hotels','GET')_p99:11961.6;('/hotels','GET')_avg:9928.5; ('/reservation','POST')_rps:9.9;('/reservation','POST')_p95:11873.7;('/reservation','POST')_p99:11964.9;('/reservation','POST')_avg:9952.2
total_rps:2008.9; ('/recommendations','GET')_rps:781.5;('/recommendations','GET')_p95:11925.2;('/recommendations','GET')_p99:12020.0;('/recommendations','GET')_avg:9992.4; ('/user','POST')_rps:10.1;('/user','POST')_p95:11926.0;('/user','POST')_p99:12027.0;('/user','POST')_avg:9939.4; ('/hotels','GET')_rps:1207.5;('/hotels','GET')_p95:11925.1;('/hotels','GET')_p99:12019.8;('/hotels','GET')_avg:10000.2; ('/reservation','POST')_rps:9.9;('/reservation','POST')_p95:11926.1;('/reservation','POST')_p99:12027.2;('/reservation','POST')_avg:10023.3
total_rps:2037.1; ('/recommendations','GET')_rps:787.6;('/recommendations','GET')_p95:11925.4;('/recommendations','GET')_p99:12024.0;('/recommendations','GET')_avg:10053.5; ('/user','POST')_rps:10.3;('/user','POST')_p95:11925.9;('/user','POST')_p99:12027.3;('/user','POST')_avg:10004.5; ('/hotels','GET')_rps:1229.8;('/hotels','GET')_p95:11925.4;('/hotels','GET')_p99:12023.7;('/hotels','GET')_avg:10061.9; ('/reservation','POST')_rps:9.5;('/reservation','POST')_p95:11926.2;('/reservation','POST')_p99:12028.9;('/reservation','POST')_avg:10080.9
total_rps:2027.8; ('/recommendations','GET')_rps:791.7;('/recommendations','GET')_p95:11924.0;('/recommendations','GET')_p99:12023.0;('/recommendations','GET')_avg:10101.9; ('/user','POST')_rps:11.3;('/user','POST')_p95:11925.1;('/user','POST')_p99:12027.9;('/user','POST')_avg:10061.1; ('/hotels','GET')_rps:1214.1;('/hotels','GET')_p95:11924.0;('/hotels','GET')_p99:12022.3;('/hotels','GET')_avg:10109.7; ('/reservation','POST')_rps:10.8;('/reservation','POST')_p95:11925.4;('/reservation','POST')_p99:12028.3;('/reservation','POST')_avg:10132.8
total_rps:2013.1; ('/recommendations','GET')_rps:781.2;('/recommendations','GET')_p95:11921.8;('/recommendations','GET')_p99:12020.1;('/recommendations','GET')_avg:10141.9; ('/user','POST')_rps:9.7;('/user','POST')_p95:11923.3;('/user','POST')_p99:12027.2;('/user','POST')_avg:10102.3; ('/hotels','GET')_rps:1212.5;('/hotels','GET')_p95:11921.8;('/hotels','GET')_p99:12020.0;('/hotels','GET')_avg:10149.6; ('/reservation','POST')_rps:9.6;('/reservation','POST')_p95:11923.0;('/reservation','POST')_p99:12027.5;('/reservation','POST')_avg:10171.0
total_rps:2015.1; ('/recommendations','GET')_rps:785.4;('/recommendations','GET')_p95:11918.9;('/recommendations','GET')_p99:12019.1;('/recommendations','GET')_avg:10174.5; ('/user','POST')_rps:9.9;('/user','POST')_p95:11921.9;('/user','POST')_p99:12026.6;('/user','POST')_avg:10136.3; ('/hotels','GET')_rps:1210.0;('/hotels','GET')_p95:11918.9;('/hotels','GET')_p99:12018.8;('/hotels','GET')_avg:10181.9; ('/reservation','POST')_rps:9.8;('/reservation','POST')_p95:11920.1;('/reservation','POST')_p99:12026.7;('/reservation','POST')_avg:10202.1
total_rps:2024.7; ('/recommendations','GET')_rps:781.6;('/recommendations','GET')_p95:11905.3;('/recommendations','GET')_p99:12017.0;('/recommendations','GET')_avg:10201.2; ('/user','POST')_rps:9.7;('/user','POST')_p95:11920.9;('/user','POST')_p99:12025.5;('/user','POST')_avg:10163.4; ('/hotels','GET')_rps:1224.1;('/hotels','GET')_p95:11907.5;('/hotels','GET')_p99:12016.8;('/hotels','GET')_avg:10208.8; ('/reservation','POST')_rps:9.3;('/reservation','POST')_p95:11914.6;('/reservation','POST')_p99:12026.1;('/reservation','POST')_avg:10226.8
